GrossCon,HourUTC,ElectricBoilerCon,HourDK,LocalPowerProd,NetCon,ExchangeGreatBelt,OffshoreWindPower,CentralProd,ExchangeNordicCountries,ExchangeContinent,OnshoreWindPower,PriceArea,SolarPowerProd
1953.114864,2018-05-06T10:00:00+00:00,2.961099,2018-05-06T12:00:00,238.893595,1903.97379,-64.6,106.119893819592,146.78483,-526.141,1503.13,89.9275451804079,DK1,459
2633.131644,2018-05-25T11:00:00+00:00,13.161888,2018-05-25T13:00:00,216.908643,2568.405193,-586.5,224.378230923911,186.301193,1029.568,587.79,516.685577076089,DK1,458
2275.29994,2018-06-05T12:00:00+00:00,6.581361,2018-06-05T14:00:00,249.548343,2203.856769,-237.6,80.6909786044859,48.374947,1656.627,-372.2,391.858671395514,DK1,458
2681.88362,2018-05-14T11:00:00+00:00,3.100182,2018-05-14T13:00:00,244.610401,2628.017099,-332.7,140.442945823554,252.194842,944.306,670.14,304.889431176446,DK1,458
2699.983667,2018-05-09T10:00:00+00:00,28.05881,2018-05-09T12:00:00,303.441318,2639.613743,-591.9,536.768950200213,129.94574,1105.07,-243.62,1002.27765879979,DK1,458
2608.831111,2018-05-07T10:00:00+00:00,2.918823,2018-05-07T12:00:00,288.523323,2569.516798,-219.8,178.926107716715,244.884836,600.638,828.36,230.298844283285,DK1,457
2814.994921,2018-07-03T10:00:00+00:00,4.083547,2018-07-03T12:00:00,290.958406,2729.671747,-585,134.430788002714,430.608069,1059.197,645.67,382.130657997287,DK1,457
2719.957106,2018-05-22T10:00:00+00:00,0.871217,2018-05-22T12:00:00,272.333297,2661.869861,-372.1,75.9418438349577,348.883485,1314.693,380.15,243.055480165042,DK1,457
2092.730664,2018-07-07T12:00:00+00:00,3.159673,2018-07-07T14:00:00,213.111868,1976.397473,-340.5,569.199605703305,31.818865,-1666.911,1455.74,1374.27132529669,DK1,456
2036.983721,2018-07-08T11:00:00+00:00,15.122579,2018-07-08T13:00:00,210.014835,1991.585479,-423.1,161.187828131279,0,-356.77,1517.39,472.261057868721,DK1,456
2867.541595,2018-05-30T10:00:00+00:00,12.451669,2018-05-30T12:00:00,225.937825,2787.497054,-582,600.424528255747,32.242768,483.385,518.88,1132.67147374425,DK1,456
2888.199674,2018-06-07T10:00:00+00:00,2.268919,2018-06-07T12:00:00,221.58442,2798.212984,-515.9,99.1632312684271,319.6559,1555.424,522.34,229.932122731573,DK1,456
2833.370697,2018-06-13T11:00:00+00:00,1.288359,2018-06-13T13:00:00,324.062164,2771.070575,-591.6,492.098225384407,195.205,-392.297,624.73,1726.17230761559,DK1,455
1937.906071,2018-05-20T10:00:00+00:00,1.317079,2018-05-20T12:00:00,232.849659,1897.106905,-312.6,45.1624031619058,423.650869,-479.8,1451.39,122.253139838094,DK1,455
2479.128601,2018-07-13T11:00:00+00:00,1.272205,2018-07-13T13:00:00,268.652983,2417.026319,-401.2,221.117096039267,378.076884,116.534,660.27,780.677637960733,DK1,455
2831.64673,2018-06-28T10:00:00+00:00,1.283919,2018-06-28T12:00:00,378.669803,2755.270552,-452.3,20.8469270145812,393.953941,1541.175,361.27,133.031058985419,DK1,455
2809.822308,2018-06-13T10:00:00+00:00,1.363155,2018-06-13T12:00:00,320.716654,2729.778027,-591.6,380.252647950125,303.2962,-200.873,521.58,1621.44980604988,DK1,455
1960.440068,2018-07-15T11:00:00+00:00,1.355327,2018-07-15T13:00:00,251.545109,1912.959472,-415.7,60.5658916305222,256.0909,-417.115,1514.76,256.293367369478,DK1,454
2723.260363,2018-06-08T11:00:00+00:00,0.073312,2018-06-08T13:00:00,283.192266,2640.741219,-566.5,17.5167866934678,164.801264,1751.314,578.78,40.1560463065322,DK1,454
2740.196382,2018-05-24T12:00:00+00:00,0.920774,2018-05-24T14:00:00,235.875272,2680.533106,-371.1,190.623671674804,337.565242,485.371,654.48,753.381196325196,DK1,454
2722.357757,2018-05-17T10:00:00+00:00,8.023018,2018-05-17T12:00:00,202.966005,2662.76511,-371.2,534.170213571661,507.945649,621.6,-30.24,803.11588942834,DK1,454
2755.914043,2018-07-02T12:00:00+00:00,0.061499,2018-07-02T14:00:00,297.045777,2675.783233,-574.2,99.7757212971413,391.920432,1091.253,611.8,384.319312702859,DK1,454
2071.030167,2018-06-30T12:00:00+00:00,13.24773,2018-06-30T14:00:00,225.465749,2028.54778,-161.4,159.417052165704,31.738531,-482.379,1495.69,348.497834834297,DK1,454
2804.033851,2018-06-26T10:00:00+00:00,15.573615,2018-06-26T12:00:00,372.754408,2761.640991,2.3,37.6201929374141,66.991615,1202.599,640.7285,28.0401350625859,DK1,453
2590.46407,2018-05-08T12:00:00+00:00,4.500058,2018-05-08T14:00:00,247.320559,2537.429049,-171.1,355.3190701671,195.67639,-904.335,1373.25,1041.3330508329,DK1,453
2698.709977,2018-05-25T10:00:00+00:00,12.278691,2018-05-25T12:00:00,223.135625,2637.378346,-502.7,221.139208416096,177.190648,1075.573,597.13,454.241495583904,DK1,453
2727.471332,2018-05-15T11:00:00+00:00,2.146784,2018-05-15T13:00:00,320.62351,2666.885552,-371.2,5.90080469783868,732.533109,924.311,617.67,45.6329083021613,DK1,452
1962.223188,2018-07-21T11:00:00+00:00,0.355306,2018-07-21T13:00:00,226.115274,1912.815373,-517.1,50.1759792546609,361.1516,-654.85,1454.43,590.300534745339,DK1,452
2888.705566,2018-05-30T11:00:00+00:00,12.221868,2018-05-30T13:00:00,212.144453,2805.117992,-562.2,599.145940404872,29.316238,454.489,469.2,1234.60993459513,DK1,452
2793.591465,2018-07-03T12:00:00+00:00,6.75129,2018-07-03T14:00:00,275.65046,2710.951896,-591.6,123.962394533258,403.412599,1064.162,652.92,413.084011466742,DK1,452
2652.654078,2018-05-14T10:00:00+00:00,3.812544,2018-05-14T12:00:00,247.097881,2597.444583,-346.9,134.272269328105,373.460881,926.281,650.06,217.382046671895,DK1,451
2121.292986,2018-05-11T12:00:00+00:00,1.525728,2018-05-11T14:00:00,298.88162,2060.881761,81.8,39.8445450504317,355.368,1592.601,-947.08,248.877820949568,DK1,451
2003.270678,2018-05-05T12:00:00+00:00,82.687372,2018-05-05T14:00:00,234.10775,1961.046259,-306.2,36.6391793784715,138.45657,-215.282,1381.14,283.409178621529,DK1,451
2564.032543,2018-05-07T12:00:00+00:00,7.527756,2018-05-07T14:00:00,278.194443,2528.534962,-61.2,133.97457975216,245.988435,277.157,967.22,272.69808524784,DK1,450
2598.439134,2018-05-04T10:00:00+00:00,0.186565,2018-05-04T12:00:00,406.414863,2536.773485,-591.6,33.7382746069647,586.168406,1489.209,89.8,134.708590393035,DK1,450
2723.90272,2018-05-17T11:00:00+00:00,2.061083,2018-05-17T13:00:00,203.030044,2674.305216,-371.1,574.634030072744,360.809342,287.7,379.62,839.209303927256,DK1,450
2107.805023,2018-05-26T11:00:00+00:00,2.13159,2018-05-26T13:00:00,203.953145,2065.049276,-591.7,157.07722333228,103.861351,-17.121,1446.2,355.53430366772,DK1,450
1891.466991,2018-05-06T12:00:00+00:00,2.909058,2018-05-06T14:00:00,223.825614,1841.970952,-77,81.8949019541393,143.275624,-535.347,1501.97,103.847851045861,DK1,449
1986.249306,2018-07-15T10:00:00+00:00,1.462423,2018-07-15T12:00:00,256.808861,1936.560954,-467.4,66.781955528967,239.4654,-315.667,1491.7,265.560289471033,DK1,449
2703.131775,2018-05-15T10:00:00+00:00,3.060169,2018-05-15T12:00:00,322.994609,2640.059701,-364.6,11.2926783781578,721.23614,910.498,611.4,41.3103476218422,DK1,449
2794.084367,2018-06-28T12:00:00+00:00,3.607204,2018-06-28T14:00:00,531.040998,2719.792231,-408.3,17.5513213246676,359.8359,1489.338,127.17,228.447947675332,DK1,449
2727.895083,2018-05-09T12:00:00+00:00,118.990578,2018-05-09T14:00:00,236.161626,2669.897979,-591.9,672.955797082682,87.257298,418.82,-210.13,1665.73036191732,DK1,449
2856.325436,2018-06-07T12:00:00+00:00,1.42091,2018-06-07T14:00:00,215.298593,2772.305392,-504.5,48.3170522718895,326.8231,1614.079,523.15,185.15769072811,DK1,448
2703.255415,2018-06-01T11:00:00+00:00,13.153721,2018-06-01T13:00:00,229.488178,2620.031122,-589.5,152.44144210559,35.825648,1354.387,586.79,485.82314689441,DK1,448
2769.698303,2018-05-22T11:00:00+00:00,1.003955,2018-05-22T13:00:00,274.57068,2706.361121,-371.5,61.2300367898275,358.16553,1566.826,246.44,185.966056210173,DK1,448
2045.981002,2018-07-08T10:00:00+00:00,12.074886,2018-07-08T12:00:00,214.5873,1996.743542,-408.3,147.518111697015,0,-227.923,1516.66,356.438590302985,DK1,447
1903.123663,2018-05-20T11:00:00+00:00,1.174771,2018-05-20T13:00:00,225.89032,1862.02736,-407,38.3604133893636,381.306891,-431.82,1499.51,150.876038610636,DK1,446
2878.025783,2018-04-11T11:00:00+00:00,82.269113,2018-04-11T13:00:00,322.43999,2781.374607,-561.3,683.660728039692,637.552886,-1773.223,1152.33,1970.56517896031,DK1,446
1940.44622,2018-05-13T11:00:00+00:00,3.287779,2018-05-13T13:00:00,217.859318,1869.563343,0.3,297.705686390707,34.447342,-1147.164,1472.97,619.327873609293,DK1,445
2032.960811,2018-07-08T12:00:00+00:00,19.895841,2018-07-08T14:00:00,208.774687,1988.664867,-379.8,162.642469772454,0,-532.343,1519.3,609.386854227546,DK1,445
2810.498412,2018-06-19T11:00:00+00:00,58.589673,2018-06-19T13:00:00,265.997965,2754.299064,-579.8,619.810711313686,220.037152,198.622,-49.1694,1690.00018368631,DK1,445
2152.137354,2018-05-26T10:00:00+00:00,2.207634,2018-05-26T12:00:00,205.782442,2111.86456,-573,133.616387651434,196.306564,221.17,1251.64,271.621960348566,DK1,445
2394.523264,2018-07-13T12:00:00+00:00,1.27134,2018-07-13T14:00:00,262.967278,2331.364632,-531.3,225.346101622445,356.5013,75.6129999999999,669.86,890.535584377555,DK1,445
2547.606134,2018-07-13T10:00:00+00:00,1.385821,2018-07-13T12:00:00,268.954816,2476.916372,-529.8,236.237352148082,392.065604,443.21,639.23,652.708361851918,DK1,445
2779.229717,2018-06-08T10:00:00+00:00,0.069754,2018-06-08T12:00:00,292.586742,2700.681535,-567.8,4.69921025628804,170.160117,1850.618,565.06,18.905647743712,DK1,445
2357.203117,2018-05-04T12:00:00+00:00,0.06606,2018-05-04T14:00:00,370.005828,2319.81531,-591.7,48.7702055542448,500.825919,199.753,1107.15,278.398164445755,DK1,444
2666.051642,2018-04-06T11:00:00+00:00,11.534535,2018-04-06T13:00:00,395.411561,2563.607515,157,355.481359528969,884.73979,-2015.926,1525.76,919.584931471032,DK1,444
2758.40229,2018-06-01T10:00:00+00:00,12.995078,2018-06-01T12:00:00,269.210448,2685.68089,-579.1,155.022597829544,32.814544,1473.608,528.29,434.556700170456,DK1,444
1947.269536,2018-05-13T10:00:00+00:00,3.197218,2018-05-13T12:00:00,219.857666,1884.202388,-33.6,251.066253199478,34.208616,-948.623,1484.18,496.180000800522,DK1,444
2184.381171,2018-06-02T11:00:00+00:00,13.111689,2018-06-02T13:00:00,203.647392,2126.287247,-273.3,0.415268763995441,17.090235,288.762,1483.73,20.0362752360046,DK1,444
2665.425837,2018-05-17T12:00:00+00:00,2.185754,2018-05-17T14:00:00,202.092589,2618.46095,-371.2,596.737085355275,402.266587,-140.3,624.07,908.759575644725,DK1,443
1982.961889,2018-07-21T10:00:00+00:00,0.404568,2018-07-21T12:00:00,237.736094,1939.948543,-497.2,48.1533988735106,355.3242,-78.999,942.25,533.697396126489,DK1,442
2835.976158,2018-06-26T11:00:00+00:00,17.310306,2018-06-26T13:00:00,361.306463,2792.034696,29.8,48.1445499562589,42.762318,1213.545,654.5511,43.8665270437411,DK1,442
2510.796489,2018-05-25T12:00:00+00:00,13.56651,2018-05-25T14:00:00,213.118837,2448.119727,-587.9,213.502111051691,185.354793,888.529,637.05,519.141747948309,DK1,442
