Share_ren,LCOE,Production_MWh,Demand_MWh,Curtailment_MWh,CAPEX_t_bilEUR,OM_t_bilEUR,Extension
0.0,0.052620440811266954,2.626657e6,2.626657e6,1.0,0.09724000000000001,4.097584919999995e7,1
0.6,0.3002214202884701,2.6266569999999963e6,2.626657e6,0.9999999999999986,0.7662090368739405,2.2369658276710723e7,1
0.8,0.4260601918016142,2.626656999999866e6,2.626657e6,0.9999999999999489,1.1033951674546447,1.5718817762408271e7,1
0.95,0.5246382049667366,2.626656999999975e6,2.626657e6,0.9999999999999905,1.367531667343734,1.0512946199577007e7,1
1.0,0.55764789998362,2.626657000000003e6,2.626657e6,1.000000000000001,1.4558759937484231,8.873766278851919e6,1
