Share_ren,SP_dt,SP_renshare
0.0,-0.0804493501007919,-0.00010395723268703889
0.6,-0.20373507722524625,-0.0004331167229575454
0.8,-0.39535321692135617,-0.001439243820711246
0.95,-2.6442397677616447,-0.03301256897893275
1.0,-16.0198032081441,-10.91983120242448
